method,n_seeds,coverage_mean,coverage_std,worst_gap_mean,worst_gap_std,set_size_mean,set_size_std,seeds_with_fail
split,20,0.9002159302890144,0.0021177251164780416,0.06347029488910712,0.09640375530704896,1.1795236756701506,0.0038202126756277073,10
mondrian,20,0.9003347558326732,0.0020984601405310767,0.02961311779668909,0.025219509350449767,1.1803235121253164,0.003842622847792857,9
