seed,method,group,name,n,covered,coverage,ci_low,ci_high,avg_set_size,status
16,split,1,Male,20597,18417,0.8941593435937273,0.8898780315125653,0.8983290415092249,1.1795407098121085,FAIL
16,split,2,Female,18536,16792,0.9059128182995253,0.9016190289068265,0.9100787790293703,1.178031937850669,OK
16,mondrian,ALL,everyone,39133,35196,0.8993943730355455,0.8963715770712986,0.9023577567977308,1.1782127616078502,LOW
16,mondrian,1,Male,20597,18446,0.8955673156284896,0.8913105507633491,0.8997120626129149,1.1835218721172986,FAIL
16,mondrian,2,Female,18536,16750,0.9036469572723349,0.8993085545781165,0.9078582561484602,1.1723133362106173,OK
17,split,ALL,everyone,39133,35145,0.8980911251373521,0.8950513612043406,0.9010716726325575,1.172514246288299,LOW
17,split,1,Male,20528,18358,0.894290724863601,0.8900043726924977,0.8984650485153428,1.1734216679657055,FAIL
17,split,2,Female,18605,16787,0.9022843321687718,0.8979277175516044,0.9065147502767705,1.1715130341306101,OK
17,mondrian,ALL,everyone,39133,35174,0.8988321876676973,0.8958020533915031,0.9018029941954364,1.1742519101525566,LOW
17,mondrian,1,Male,20528,18481,0.9002825409197194,0.8961025865274935,0.904348741803488,1.1914458300857365,OK
17,mondrian,2,Female,18605,16693,0.8972319269013705,0.8927794891224042,0.9015597758310377,1.1552808384842783,LOW
18,split,ALL,everyone,39133,35126,0.8976056014105742,0.8945595550512196,0.9005925042509404,1.171262106150819,LOW
18,split,1,Male,20728,18507,0.8928502508683905,0.8885601989885766,0.8970297694272169,1.1712659204940177,FAIL
18,split,2,Female,18405,16619,0.9029611518609073,0.8985936050569305,0.9072009073257178,1.1712578103776148,OK
18,mondrian,ALL,everyone,39133,35075,0.8963023535123809,0.8932395470184296,0.8993062121828618,1.169166687961567,FAIL
18,mondrian,1,Male,20728,18625,0.8985430335777692,0.8943524938662599,0.902621417711835,1.188103049015824,LOW
18,mondrian,2,Female,18405,16450,0.8937788644390111,0.8892378775509349,0.8981950127181809,1.147840260798696,FAIL
19,split,ALL,everyone,39133,35162,0.8985255411034165,0.8954914161544808,0.9015003843654702,1.1782383154882068,LOW
19,split,1,Male,20564,18376,0.8936004668352461,0.8893059696055704,0.8977833305915432,1.1819684886208908,FAIL
19,split,2,Female,18569,16786,0.9039797511982336,0.8996517872608777,0.9081807318846429,1.1741073832731972,OK
19,mondrian,ALL,everyone,39133,35136,0.8978611402141415,0.8948183977752282,0.9008447007566077,1.177369483556078,LOW
19,mondrian,1,Male,20564,18447,0.8970531025092394,0.8928190400011874,0.90117453982947,1.191548336899436,LOW
19,mondrian,2,Female,18569,16689,0.8987559911680758,0.8943277303352127,0.9030589350024176,1.1616672949539555,LOW
