method,n_seeds,coverage_mean,coverage_std,worst_gap_mean,worst_gap_std,set_size_mean,set_size_std,seeds_with_fail
split,20,0.9002887588480311,0.002117850481435985,0.004445850508773686,0.002640974722152372,1.1795223979761327,0.0037558016428376625,10
mondrian,20,0.9001520455881226,0.0022902843703502124,0.002294239275666582,0.0019899087674311203,1.1793230777093502,0.004214841050451054,3
